seq,query_id,status,start_s,end_s,rel_start_s,rel_end_s,latency_s
347,3700009,completed,1783538422.871,1783538423.962,1064.621,1065.712,1.091
348,3158459,completed,1783538423.488,1783538424.623,1065.238,1066.373,1.135
349,2931787,completed,1783538424.686,1783538425.753,1066.436,1067.503,1.067
350,3824159,completed,1783538425.617,1783538426.700,1067.367,1068.450,1.083
351,2964952,completed,1783538426.601,1783538427.697,1068.351,1069.447,1.096
352,3524145,completed,1783538433.376,1783538434.962,1075.125,1076.711,1.586
353,3003916,completed,1783538437.978,1783538438.504,1079.728,1080.254,0.526
354,2769885,completed,1783538447.261,1783538449.749,1089.011,1091.499,2.488
355,4294277,completed,1783538451.740,1783538452.898,1093.490,1094.648,1.158
356,2699185,completed,1783538455.658,1783538459.765,1097.408,1101.515,4.107
357,2864733,completed,1783538456.964,1783538458.063,1098.714,1099.813,1.099
358,4196768,completed,1783538458.491,1783538460.970,1100.241,1102.720,2.479
359,2967896,completed,1783538463.465,1783538464.673,1105.215,1106.423,1.208
360,2920665,completed,1783538468.525,1783538470.417,1110.275,1112.167,1.892
361,4374789,completed,1783538475.654,1783538496.182,1117.404,1137.932,20.528
362,2964953,completed,1783538476.254,1783538478.216,1118.004,1119.966,1.962
363,3876036,completed,1783538477.501,1783538481.565,1119.251,1123.315,4.064
364,3178262,completed,1783538480.175,1783538483.061,1121.925,1124.811,2.886
365,3579018,completed,1783538480.935,1783538482.897,1122.685,1124.647,1.962
366,4237932,completed,1783538482.117,1783538483.471,1123.867,1125.221,1.354
367,2838538,completed,1783538482.884,1783538484.128,1124.634,1125.878,1.244
368,2882825,completed,1783538483.545,1783538486.850,1125.295,1128.600,3.305
369,3673983,completed,1783538484.041,1783538486.140,1125.791,1127.890,2.099
370,3524146,completed,1783538485.079,1783538487.615,1126.829,1129.365,2.536
371,3060153,completed,1783538486.299,1783538489.038,1128.049,1130.788,2.739
372,4115720,completed,1783538487.994,1783538489.334,1129.744,1131.084,1.340
373,3733692,completed,1783538488.522,1783538489.658,1130.272,1131.408,1.136
374,4406274,completed,1783538489.117,1783538490.687,1130.867,1132.437,1.570
375,4394373,completed,1783538490.153,1783538492.336,1131.903,1134.086,2.183
376,3712699,completed,1783538491.535,1783538493.761,1133.285,1135.511,2.226
377,3997207,completed,1783538492.376,1783538494.590,1134.126,1136.340,2.214
378,4233649,completed,1783538493.300,1783538494.760,1135.049,1136.509,1.460
379,3757552,completed,1783538494.510,1783538495.764,1136.260,1137.514,1.254
380,3204427,completed,1783538495.204,1783538497.210,1136.953,1138.959,2.006
381,4123523,completed,1783538496.272,1783538497.623,1138.022,1139.373,1.351
382,4226838,completed,1783538496.597,1783538497.732,1138.347,1139.482,1.135
383,4431494,completed,1783538497.314,1783538498.426,1139.064,1140.176,1.112
384,2817619,completed,1783538498.948,1783538501.368,1140.698,1143.118,2.420
385,4447662,completed,1783538499.682,1783538501.039,1141.432,1142.789,1.357
386,4126404,completed,1783538500.126,1783538501.236,1141.876,1142.986,1.110
387,3968351,completed,1783538501.099,1783538502.554,1142.849,1144.304,1.455
